一下	yi xx
每期	mw qi
每每	mw mw
每隔	mw ge
毒气	du qi
毒霸	du ba
比价	bi jx
比例尺	bi li ii
比值	bi vi
比划	bi hx
比如说	bi ru uo
比尔	bi er
比拟	bi ni
比翼齐飞	bi yi qi fw
比试	bi ui
毕业生	bi ye ug
毕加索	bi jx so
毕恭毕敬	bi gs bi jk
毕生	bi ug
毕节	bi jp
毙命	bi mk
毛公仔	mc gs zd
毛公仔	mc gs zi
毛坯	mc pi
毛纺	mc fh
毛线	mc xm
毛衣	mc yi
毡房	vj fh
毫不利己	hc bu li ji
毫不犹豫	hc bu yz yu
毫不留情	hc bu lq qk
毫不相干	hc bu xl gj
毫克	hc ke
毫无例外	hc wu li wd
毫无疑义	hc wu yi yi
毯子	tj zi
毵毵	sj sj
氍毹	qu uu
氏族	ui zu
民主党派	mb vu dh pd
民力	mb li
民品	mb pb
民团	mb tr
民委	mb ww
民盟	mb mg
民进	mb jb
民革	mb ge
气冲牛斗	qi is nq dz
气力	qi li
气动	qi ds
气势	qi ui
气咳	qi ke
气垫	qi dm
气壮如牛	qi vl ru nq
气宇轩昂	qi yu xr ag
气性	qi xk
气愤	qi ff
气昂昂	qi ag ag
气概	qi gd
气泡	qi pc
气管	qi gr
气管炎	qi gr yj
气罗气喘	qi lo qi ir
气象台	qi xl td
气贯长虹	qi gr ih hs
气阀	qi fa
气韵	qi yy
氛围	ff ww
氢弹	qk dj
氤氲	yb yy
氧化物	yh hx wu
氮气	dj qi
氰化	qk hx
水产品	uv ij pb
水仙花	uv xm hx
水兵	uv bk
水利局	uv li ju
水力	uv li
水势	uv ui
水印	uv yb
水合物	uv he wu
水喉铁	uv hz tp
水坑	uv kg
水坝	uv ba
水墨画	uv mo hx
水尾	uv ww
水师	uv ui
水平如镜	uv pk ru jk
水彩画	uv cd hx
水性	uv xk
水情	uv qk
水手	uv uz
水文	uv wf
水文站	uv wf vj
水旱	uv hj
水星	uv xk
水晶宫	uv jk gs
水柱	uv vu
水汪汪	uv wh wh
水流湍急	uv lq tr ji
水浇地	uv jn di
水深	uv uf
水渠	uv qu
水火	uv ho
水灵灵	uv lk lk
水电局	uv dm ju
水电站	uv dm vj
水皮	uv pi
水磨	uv mo
水箱	uv xl
水粉画	uv ff hx
水系	uv xi
水肿	uv vs
水蒸气	uv vg qi
水蛋	uv dj
水警	uv jk
水道	uv dc
水陆	uv lu
水面	uv mm
水饺	uv jn
水龙	uv ls
永世	ys ui
永中	ys vs
永久性	ys jq xk
永垂不朽	ys iv bu xq
汁液	vi ye
汁都捞埋	vi du lc md
汁都捞埋	vi du lc mj
汁都捞埋	vi dz lc md
汁都捞埋	vi dz lc mj
求全	qq qr
求援	qq yr
求是	qq ui
求知	qq vi
求知欲	qq vi yu
汇价	hv jx
汇合	hv he
汇报会	hv bc hv
汇款单	hv kr dj
汉书	hj uu
汉代	hj dd
汉城	hj ig
汉堡包	hj bc bc
汉奸	hj jm
汉子	hj zi
汉文	hj wf
汉白玉	hj bd yu
汍澜	wj lj
汗牛充栋	hj nq is ds
汛情	xy qk
江北	jl bw
江民	jl mb
江水	jl uv
江苏省	jl su ug
江西省	jl xi ug
江陵	jl lk
池子	ii zi
污水	wu uv
污水渠	wu uv qu
污泥浊水	wu ni vo uv
污秽	wu hv
污糟邋遢	wu zc la ta
污蔑	wu mp
污辱	wu ru
汤姆	th mu
汩汩	gu gu
汩没	gu mo
汩没	gu mw
汩没	yu mo
汩没	yu mw
汪延	wh yj
汪洋大海	wh yh da hd
汲水	ji uv
汽化	qi hx
汽笛	qi di
汽车站	qi ie vj
汽轮机	qi ly ji
沁人肺腑	qb rf fw fu
沁阳	qb yh
沃尔玛	wo er ma
沃达丰	wo da fg
沄沄	yy yy
沆瀣	hh xp
沈从文	uf cs wf
沈阳市	uf yh ui
沉没	if mo
沉甸甸	if dm dm
沉积	if ji
沉郁	if yu
沓正	da vg
沓正	ta vg
沙俄	ua ee
沙地	ua di
沙场	ua ih
沙子	ua zi
沙市	ua ui
沙文主义	ua wf vu yi
沙沙	ua ua
沙沙滚	ua ua gy
沙河粉	ua he ff
沙洲	ua vz
沙石	ua ui
沙砾	ua li
沙胆	ua dj
沙茶酱	ua ia jl
没什么	mw uf me
没命	mw mk
没治	mw vi
沥青	li qk
沦陷区	ly xm qu
沧浪	ch lh
沧海横流	ch hd hg lq
沪剧	hu ju
沮洳	ju ru
河北省	he bw ug
河南省	he nj ug
河堤	he di
河套	he tc
河山	he uj
河水	he uv
河滩	he tj
河神	he uf
河谷	he gu
河面	he mm
沸水	fw uv
油井	yz jk
油嘴	yz zv
油坊	yz fh
油墨	yz mo
油多	yz do
油彩	yz cd
油桶	yz ts
油气	yz qi
油水	yz uv
油污	yz wu
油滑	yz hx
油漆	yz qi
油灯	yz dg
油烟	yz yj
油画	yz hx
油矿	yz kl
油管	yz gr
油箱	yz xl
油类	yz lw
油罐	yz gr
油耗	yz hc
油脂	yz vi
油船	yz ir
油角	yz jn
油角	yz jt
油路	yz lu
治外法权	vi wd fa qr
治学	vi xt
治愈	vi yu
治本	vi bf
治标	vi bn
治罪	vi zv
沼气	vc qi
沼泽地	vc ze di
沾满	vj mj
沿江	yj jl
沿袭	yj xi
沿边	yj bm
沿革	yj ge
泄欲	xp yu
泉源	qr yr
泔水	gj uv
法书	fa uu
法事	fa ui
法典	fa dm
法制	fa vi
法力	fa li
法子	fa zi
法家	fa jx
法师	fa ui
法拉利	fa la li
法政	fa vg
法文	fa wf
法新社	fa xb ue
法权	fa qr
法理	fa li
法纪	fa ji
法语	fa yu
法郎	fa lh
泛指	fj vi
泛泛	fj fj
泠泠	lk lk
波兰	bo lj
波多黎各	bo do li ge
波幅	bo fu
波牛	bo nq
波经	bo jk
波谷	bo gu
波霸	bo ba
波音	bo yb
波饼	bo bk
泣涕	qi ti
泥人	ni rf
泥水	ni uv
泥湴	ni bj
泥湴	ni pj
泥瓦匠	ni wa jl
泥石流	ni ui lq
注塑	vu su
注射器	vu ue qi
注目	vu mu
注目礼	vu mu li
注脚	vu jn
泰乐	td le
泰乐	td yt
泰山压顶	td uj ya dk
泰山移	td uj yi
泱泱	yh yh
泵房	bg fh
泵站	bg vj
洁净	jp jk
洋为中用	yh ww vs ys
洋洋大观	yh yh da gr
洋洋得意	yh yh de yi
洋烛	yh vu
洋行	yh hh
洋货	yh ho
洗劫	xi jp
洗劫一空	xi jp yi ks
洗大饼	xi da bk
洗大饼	xi dd bk
洗手	xi uz
洗手奉职	xi uz fg vi
洗楼	xi lz
洗涤剂	xi di ji
洗湿个头	xi ui ge tz
洗漱	xi uu
洗礼	xi li
洗练	xi lm
洗脚唔抹脚	xi jn wu ma jn
洗脚唔抹脚	xi jn wu mo jn
洗衣	xi yi
洗衫板	xi uj bj
洗黑钱	xi hw qm
洛阳纸贵	lo yh vi gv
洞悉	ds xi
洞房	ds fh
津巴布韦	jb ba bu ww
洪武	hs wu
洪水猛兽	hs uv mg uz
洪钟	hs vs
洪魔	hs mo
活动家	ho ds jx
活化石	ho hx ui
活性	ho xk
活性炭	ho xk tj
活期	ho qi
活水	ho uv
活生生	ho ug ug
活脱脱	ho to to
活计	ho ji
活路	ho lu
洽谈会	qx tj hv
派出所	pd iu so
派性	pd xk
派息	pd xi
派拉蒙	pd la mg
派筹	pd iz
派系	pd xi
派街坊	pd jp fh
流下	lq xx
流失	lq ui
流弹	lq dj
流星	lq xk
流星雨	lq xk yu
流水线	lq uv xm
流沙	lq ua
流浪汉	lq lh hj
流离	lq li
流窜犯	lq cr fj
流线型	lq xm xk
流行榜	lq hh bh
流行榜	lq xk bh
流行色	lq xk se
流行语	lq hh yu
流行语	lq xk yu
流言	lq yj
流言飞语	lq yj fw yu
流逝	lq ui
浅析	qm xi
浅水	qm uv
浅滩	qm tj
浇水	jn uv
浇注	jn vu
浇灌	jn gr
浇铸	jn vu
浊亲	vo qb
浊亲	vo qk
浊流	vo lq
测绘局	ce hv ju
济南市	ji nj ui
济困扶危	ji ky fu ww
济宁	ji nk
济弱扶倾	ji ro fu qk
济济一堂	ji ji yi th
济源	ji yr
浑俗和光	hy su he gl
浑厚	hy hz
浑水摸鱼	hy uv mo yu
浓烟滚滚	ns yj gy gy
浓眉大眼	ns mw da yj
浙江省	ve jl ug
浩劫	hc jp
浩大	hc da
浩气	hc qi
浩浩长空	hc hc ih ks
浩浩长空	hc hc vh ks
浩渺	hc mn
浩繁	hc fj
浪头	lh tz
浪漫主义	lh mj vu yi
浮华	fu hx
浮尘	fu if
浮标	fu bn
浮沉	fu if
浮泛	fu fj
浮浅	fu qm
浮游	fu yz
浮萍	fu pk
浴室	yu ui
浴池	yu ii
海事	hd ui
海伦	hd ly
海信	hd xb
海味	hd ww
海地	hd di
海堤	hd di
海岛	hd dc
海平面	hd pk mm
海归	hd gv
海洛因	hd lo yb
海派	hd pd
海淀	hd dm
海潮	hd ic
海疆	hd jl
海皮	hd pi
海绵	hd mm
海豹	hd bc
海防	hd fh
海陆空	hd lq ks
海陆空	hd lu ks
海难	hd nj
海顿	hd dy
浸入	jb ru
浸染	jb rj
浸润	jb ry
浸猪笼	jb vu ls
浸种	jb vs
浸透	jb tz
消亡	xn wh
消协	xn xp
消息人士	xn xi rf ui
消暑	xn uu
消毒剂	xn du ji
消滞	xn vi
消火栓	xn ho ur
消瘦	xn uz
消融	xn rs
消退	xn tv
消逝	xn ui
消长	xn vh
消闲	xn xm
消防喉	xn fh hz
消防车	xn fh ie
消防队	xn fh dv
涉世	ue ui
涉黄	ue hl
涉黑	ue hw
涌浪	ys lh
涓滴归公	jr di gv gs
涕泗	ti si
涝灾	lc zd
涡轮机	wo ly ji
涤荡	di dh
润滑油	ry hx yz
涨至	vh vi
涨落	vh lo
液化	ye hx
液化气	ye hx qi
涵义	hj yi
涵洞	hj ds
涵管	hj gr
淅沥	xi li
淅淅沥沥	xi xi li li
淋巴结	lb ba jp
淋漓	lb li
淋病	lb bk
淘汰赛	tc td sd
淙淙	cs cs
淟涊	tm nm
淡季	dj ji
淡水湖	dj uv hu
淡水鱼	dj uv yu
淡茂茂	dj mc mc
淡薄	dj bo
淤塞	yu se
淤积	yu ji
淫威	yb ww
淫溢	yb yi
淮南	hk nj
淮阴	hk yb
深为	uf ww
深信	uf xb
深切治疗	uf qp vi ln
深刻性	uf ke xk
深化	uf hx
深受	uf uz
深处	uf iu
深得民心	uf de mb xb
深情	uf qk
深情厚意	uf qk hz yi
深情厚谊	uf qk hz yi
深意	uf yi
深明大义	uf mk da yi
深水港	uf uv gh
深知	uf vi
深谷	uf gu
深远	uf yr
深透	uf tz
深重	uf vs
深闺	uf gv
淳厚	iy hz
混交林	hy jn lb
混养	hy yh
混合物	hy he wu
混吉	hy ji
混浊	hy vo
混淆是非	hy xn ui fw
添加剂	tm jx ji
添麻烦	tm ma fj
清亮	qk ll
清代	qk dd
清偿	qk ih
清冷	qk lg
清净	qk jk
清凉油	qk ll yz
清剿	qk jn
清幽	qk yz
清明节	qk mk jp
清晰度	qk xi du
清正	qk vg
清河	qk he
清洁	qk jp
清洗	qk xi
清淡	qk dj
清瘦	qk uz
清纯	qk iy
清茶	qk ia
清补凉	qk bu ll
清规戒律	qk gv jp lv
清运	qk yy
清香	qk xl
清香鲜嫩	qk xl xm nf
渊薮	yr sz
渐入佳境	jm ru jx jk
渐变	jm bm
渐次	jm ci
渐至佳境	jm vi jx jk
渔人之利	yu rf vi li
渔具	yu ju
渔区	yu qu
渔场	yu ih
渔夫	yu fu
渔家	yu jx
渔港	yu gh
渔火	yu ho
渔网	yu wh
渔舟	yu vz
渔轮	yu ly
渗入	uf ru
渡海	du hd
渡过	du go
渣都冇	va du mc
渣都冇	va dz mc
温厚	wf hz
温哥华	wf ge hx
温室	wf ui
温家宝	wf jx bc
温暾	wf ty
温柔敦厚	wf rz dy hz
温润而泽	wf ry er ze
温良恭俭让	wf ll gs jm rh
港务局	gh wu ju
游人	yz rf
游兴	yz xk
游击	yz ji
游击战	yz ji vj
游击队	yz ji dv
游医	yz yi
游历	yz li
游园	yz yr
游园会	yz yr hv
游埠	yz bu
游子	yz zi
游干水	yz gj uv
游弋	yz yi
游戏人间	yz xi rf jm
游泳池	yz ys ii
游泳馆	yz ys gr
游离	yz li
游绳	yz ug
游艺	yz yi
游艺机	yz yi ji
游记	yz ji
渺嘴	mn zv
湉湉	tm tm
湑湑	xu xu
湖北省	hu bw ug
湖区	hu ou
湖区	hu qu
湖南省	hu nj ug
湖州	hu vz
湘赣	xl gj
湛蓝	vj lj
湝湝	jp jp
湮没	yj mo
湿地	ui di
湿度	ui du
湿柴	ui id
湿气	ui qi
湿水鸡	ui uv ji
湿漉漉	ui lu lu
湿碎	ui sv
溃于蚁穴	kv yu yi xt
源流	yr lq
源源	yr yr
溜冰场	lq bk ih
溟蒙	mk mg
溢于言表	yi yu yj bn
溢利	yi li
溯源	su yr
溶剂	rs ji
溶化	rs hx
滂沛	ph pw
滃郁	wg yu
滇池	dm ii
滋事	zi ui
滋油	zi yz
滋油淡定	zi yz dj dk
滋补品	zi bu pb
滑动	hx ds
滑捋捋	hx lo lo
滑捋捋	hx lo lv
滑捋捋	hx lv lo
滑捋捋	hx lv lv
滑梯	hx ti
滑潺潺	hx ij ij
滑牙	hx ya
滑稽戏	hx ji xi
滑翔	hx xl
滑雪	hx xt
滑雪板	hx xt bj
滕州	tg vz
滚水渌脚	gy uv lu jn
滚热辣	gy re la
滚红滚绿	gy hs gy lu
滚红滚绿	gy hs gy lv
滚轴溜冰	gy vz lq bk
滚雪球	gy xt qq
滞后	vi hz
滞销	vi xn
满员	mj yr
满城风雨	mj ig fg yu
满天	mj tm
满头	mj tz
满山红叶	mj uj hs xp
满山红叶	mj uj hs ye
满山遍野	mj uj bm ye
满怀信心	mj hk xb xb
满招损谦受益	mj vc sy qm uz yi
满文	mj wf
满族	mj zu
满洲	mj vz
满洲国	mj vz go
满满	mj mj
满满当当	mj mj dh dh
满眼	mj yj
满肚密圈	mj du mi jr
满肚密圈	mj du mi qr
满腔热情	mj ql re qk
满腹牢骚	mj fu lc sc
滥觞	lj uh
滩地	tj di
滩头	tj tz
滩涂	tj tu
滴水	di uv
滴水成冰	di uv ig bk
滴溜	di lq
漂渺	pn mn
漂漂亮亮	pn pn ll ll
漂移	pn yi
漏税	lz uv
漓江	li jl
演义	yj yi
演习	yj xi
演化	yj hx
演唱会	yj ih hv
演奏员	yj zz yr
演奏家	yj zz jx
演播室	yj bo ui
演示	yj ui
演算	yj sr
演艺	yj yi
演进	yj jb
漠视	mo ui
漫天要价	mj tm yc jx
漫天飞雪	mj tm fw xt
漫漫	mj mj
漫漫长夜	mj mj ih ye
漫漫长夜	mj mj vh ye
漫漶	mj hr
漭漭	mh mh
漯河	lo he
漳州	vh vz
潆洄	yk hv
潇湘	xn xl
潋滟	lm yj
潜入	qm ru
潜台词	qm td ci
潜意识	qm yi ui
潜水员	qm uv yr
潜水艇	qm uv tk
潜质	qm vi
潜返	qm fj
潢洋	gl yh
潢洋	hl yh
潦倒	ln dc
潮头	ic tz
潮汐	ic xi
潮阳	ic yh
潺湲	ij yr
激动人心	ji ds rf xb
激化	ji hx
激奀	ji en
激奀	ji nf
激愤	ji ff
激浊扬清	ji vo yh qk
激起	ji qi
激进	ji jb
濑粉	ld ff
濒于	bb yu
濮阳	pu yh
灌区	gr qu
灌注	gr vu
灌浆	gr jl
灌渠	gr qu
火力	ho li
火势	ho ui
火化	ho hx
火器	ho qi
火树银花	ho uu yb hx
火海	ho hd
火滚	ho gy
火灾	ho zd
火炕	ho kh
火电厂	ho dm ih
火电站	ho dm vj
火箭弹	ho jm dj
火箭炮	ho jm pc
火箭筒	ho jm ts
火花塞	ho hx sd
火药味	ho yc ww
火起	ho qi
火路	ho lu
火车头	ho ie tz
火辣辣	ho la la
火遮眼	ho ve yj
火险	ho xm
火鸡	ho ji
灭火喉	mp ho hz
灯市	dg ui
灯柱	dg vu
灯油火腊	dg yz ho la
灯油火腊	dg yz ho xi
灯胆	dg dj
灰土	hv tu
灰士	hv ui
灰心	hv xb
灰白色	hv bd se
灰白色	hv bd ud
灰蒙蒙	hv mg mg
灰质	hv vi
灵宝	lk bc
灵性	lk xk
灵敏度	lk mb du
灶具	zc ju
炉台	lu td
炉子	lu zi
炉渣	lu va
炉膛	lu th
炊事	iv ui
炊事员	iv ui yr
炊事班	iv ui bj
炊烟四起	iv yj si qi
炎夏	yj xx
炎炎	yj yj
炎症	yj vg
炒买炒卖	ic md ic md
炒家	ic jx
炒黄牛	ic hl nq
炖冬菇	dy ds gu
炖品	dy pb
炮手	pc uz
炮灰	pc hv
炸鱼	va yu
点子	dm zi
点心	dm xb
点拨	dm bo
点搞	dm gc
点明	dm mk
点止	dm vi
点红点绿	dm hs dm lu
点红点绿	dm hs dm lv
点钟	dm vs
炼焦	lm jn
烂命	lj mk
烂头蟀	lj tz uk
烂摊子	lj tj zi
烂溶溶	lj rs rs
烂漫	lj mj
烂瘾	lj yb
烂瞓	lj ff
烂瞓	lj xy
烂蓉蓉	lj rs rs
烂铜烂铁	lj ts lj tp
烂饭	lj fj
烈军属	lp jy uu
烈士	lp ui
烈士墓	lp ui mu
烈属	lp uu
烈日当头	lp ri dh tz
烘云托月	hs yy to yt
烚熟狗头	xx uu gz tz
烚熟狗头	xx uz gz tz
烟仔	yj zd
烟仔	yj zi
烟士	yj ui
烟尘	yj if
烟帽队	yj mc dv
烟波	yj bo
烟波浩淼	yj bo hc mn
烟灰	yj hv
烟灰盅	yj hv vs
烟熏火燎	yj xy ho ln
烟盒	yj he
烟筒	yj ts
烟花	yj hx
烟草业	yj cc ye
烟蒂	yj di
烟雨	yj yu
烟雾	yj wu
烤烟	kc yj
烦燥	fj zc
烦琐	fj so
烧碱	uc jm
烧纸	uc vi
烧结	uc jp
热乎乎	re hu hu
热心肠	re xb ih
热核	re he
热气腾腾	re qi tg tg
热水瓶	re uv pk
热河	re he
热源	re yr
热火	re ho
热电厂	re dm ih
热痱	re fw
热轧	re va
热轧	re ya
烽火台	fg ho td
烽火连天	fg ho lm tm
焊缝	hj fg
焗亲	ju qb
焗亲	ju qk
焗漆	ju qi
焗炉	ju lu
焗盅	ju vs
焚化	ff hx
焚毁	ff hv
焦化	jn hx
焦土	jn tu
焦油	jn yz
焦炉	jn lu
焦炭	jn tj
焰火	yj ho
然之后	rj vi hz
煎饼	jm bk
煜爚	yu yt
煞下煞下	ua xx ua xx
煞住	ua vu
煞掣	ua ie
煤尘	mw if
煤层	mw cg
煤屎	mw ui
煤气喉	mw qi hz
煤气罐	mw qi gr
煤油	mw yz
煤灰	mw hv
煤烟	mw yj
煤田	mw tm
煤窑	mw yc
照会	vc hv
照发	vc fa
照壁	vc bi
照搬	vc bj
照杀	vc ua
照板煮碗	vc bj vu wj
照肺	vc fw
煮饭仔	vu fj zd
煮饭仔	vu fj zi
煲仔菜	bc zd cd
煲仔菜	bc zi cd
煲仔饭	bc zd fj
煲仔饭	bc zi fj
煲冇米粥	bc mc mi vz
熄匙	xi ii
熄匙	xi ui
熊熊	xs xs
熔化	rs hx
熔岩	rs yj
熔炼	rs lm
熔解	rs jp
熔解	rs xp
熟性	uu xk
熟性	uz xk
熟知	uu vi
熟行	uu hh
熟行	uu xk
熟行	uz hh
熟行	uz xk
熟识	uu ui
熟透	uu tz
熟食	uu ui
熟食档	uu si dh
熟食档	uu ui dh
熟食档	uu yi dh
熟食档	uz si dh
熟食档	uz ui dh
熟食档	uz yi dh
熠熟狗头	yi uu gz tz
熠熟狗头	yi uz gz tz
熠熠	yi yi
熠爚	yi yt
燃起	rj qi
燎原之势	ln yr vi ui
燎泡	ln pc
燕京	yj jk
燕婉	yj wj
燕山	yj uj
燕梳	yj uu
燕燕	yj yj
燕语莺声	yj yu yk ug
燕雀安知	yj qt an vi
燕麦	yj md
燥火	zc ho
燮理阴阳	xp li yb yh
爆发力	bc fa li
爆呔	bc dd
爆呔	bc td
爆圻	bc qi
爆圻	bc yb
爆大镬	bc da ho
爆大镬	bc dd ho
爆满	bc mj
爆炒	bc ic
爆炸性	bc va xk
爆煲	bc bc
爆石	bc dj
爆石	bc ui
爆竹	bc vu
爬格仔	pa ge zd
爬格仔	pa ge zi
爬罗剔抉	pa lo ti jt
爬高	pa gc
爱立信	ai li xb
爵士乐	jt ui yt
父女	fu nv
父本	fu bf
爹哋	dp di
片剂	pm ji
片子	pm zi
片断	pm dr
片片	pm pm
片糖	pm th
版式	bj ui
牌位	pd ww
牌号	pd hc
牌坊	pd fh
牌照	pd vc
牙医	ya yi
牙擦	ya ca
牙擦擦	ya ca ca
牙斩斩	ya vj vj
牙烟	ya yj
牙痛噉声	ya ts dj ug
牙罅	ya xx
牙铰	ya jn
牙齿印	ya ii yb
牙齿当金使	ya ii dh jb ui
牛噍牡丹	nq jn mu dj
牛毛细雨	nq mc xi yu
牛油果	nq yz go
牛皮癣	nq pi xr
牛皮纸	nq pi vi
牛精	nq jk
牛羊肉	nq yh rz
牛脷	nq li
牛郎织女	nq lh vi nv
牛鼎烹鸡	nq dk pg ji
牝牡	pb mu
牟取暴利	mz qu bc li
牢牢	lc lc
牧人	mu rf
牧歌	mu ge
牧童	mu ts
牧羊	mu yh
物主	wu vu
物似主人形	wu ui vu rf xk
物力	wu li
物欲	wu yu
物理	wu li
物理学	wu li xt
物腐虫生	wu fu is ug
物证	wu vg
物资局	wu zi ju
牲畜	ug iu
牵制	qm vi
牵引力	qm yb li
牵线	qm xm
牵萝补屋	qm lo bu wu
特委	te ww
特技	te ji
特指	te vi
特效药	te xn yc
特洛伊	te lo yi
特派员	te pd yr
特种兵	te vs bk
特赦	te ue
牺牲品	xi ug pb
犀厉	xi li
犄角	ji jn
犯众憎	fj vs zg
犯愁	fj iz
犰狳	qq yu
犹太人	yz td rf
犹太教	yz td jn
狂犬病	kl qr bk
狂草	kl cc
狂风暴雨大雨淋漓	kl fg bc yu da yu lb li
狂风暴雨大雨淋漓	kl fg bc yu dd yu lb li
狉狉	pi pi
狍子	pc zi
狐狸	hu li
狐疑不决	hu yi bu jt
狐群狗党	hu qy gz dh
狒狒	fw fw
狗乸	gz na
狗公	gz gs
狗咬狗骨	gz yc gz gu
狗爪边	gz vc bm
狗爪边	gz vx bm
狗牙	gz ya
狙击	ju ji
狡黠	jn xx
独具匠心	du ju jl xb
独具特色	du ju te se
独出心裁	du iu xb cd
独到之处	du dc vi iu
独唱	du ih
独善其身	du uj qi uf
独子	du zi
独木舟	du mu vz
独沽一味	du gu yi ww
独生女	du ug nv
独生子	du ug zi
独立团	du li tr
独角戏	du jn xi
独资	du zi
狭长	xx ih
狮城	ui ig
狷介之士	jr jp vi ui
狸猫	li mc
狻猊	sr ni
狼籍	lh ji
狼胎	lh td
猃狁	xm yy
猕猴桃	mi hz tc
猗傩	yi no
猛兽	mg uz
猛咁	mg gj
猛将	mg jl
猛志常在	mg vi ih zd
猛扑	mg pu
猛犸	mg ma
猛跌	mg dp
猛醒	mg xk
猜呈寻	cd ig xy
猞猁	ue li
猩猩	xk xk
猪乸	vu na
猪仔	vu zd
猪场	vu ih
猪头炳	vu tz bk
猪头骨	vu tz gu
猪崽	vu zd
猪横脷	vu hg li
猪瘟	vu wf
猪突豨勇	vu tu xi ys
猪笼入水	vu ls ru uv
猪脚姜	vu jn jl
猪舍	vu ue
猫乸	mc na
猫扑	mc pu
猫王	mc wh
猫鼠同眠	mc uu ts mm
献技	xm ji
献礼	xm li
献艺	xm yi
献花	xm hx
献血	xm xt
献计	xm ji
献词	xm ci
献身	xm uf
献辞	xm ci
獬豸	xp vi
玄学	xr xt
玄虚	xr xu
玄黄	xr hl
玉兰	yu lj
玉器	yu qi
玉林	yu lb
玉洁松贞	yu jp ss vf
玉溪	yu xi
玉石	yu ui
玉米面	yu mi mm
玉雕	yu dn
王位	wh ww
王公	wh gs
王冠	wh gr
王力	wh li
王室	wh ui
王永民	wh ys mb
王爷	wh ye
王羲之	wh xi vi
王铎	wh do
玎玲	dk lk
玎珰	dk dh
玛丽	ma li
玩意	wj yi
玩新人	wj xb rf
玩艺	wj yi
玫瑰色	mw gv se
环卫	hr ww
环城	hr ig
环形	hr xk
环抱	hr bc
环环相扣	hr hr xl kz
环行	hr xk
环首死刑	hr uz si xk
现世	xm ui
现今	xm jb
现代化	xm dd hx
现代史	xm dd ui
现代戏	xm dd xi
现代派	xm dd pd
现代舞	xm dd wu
现任	xm rf
现出	xm iu
现场会	xm ih hv
现实主义	xm ui vu yi
现实性	xm ui xk
现已	xm yi
现役	xm yi
现时	xm ui
现汇	xm hv
现汉	xm hj
现眼	xm yj
现职	xm vi
现金	xm jb
现钱	xm qm
现阶段	xm jp dr
玳瑁	dd mc
玻利维亚	bo li ww ya
玻璃瓶	bo li pk
珊瑚礁	uj hu jn
珍本	vf bf
珍视	vf ui
珐琅	fa lh
珑璁	ls cs
珞巴族	lo ba zu
珠子	vu zi
班主任	bj vu rf
班加罗尔	bj jx lo er
班房	bj fh
班机	bj ji
班马	bj ma
球形	qq xk
球技	qq ji
球状	qq vl
球艺	qq yi
琅玕	lh gj
理事	li ui
理事会	li ui hv
理事长	li ui vh
理化	li hx
理发	li fa
理发师	li fa ui
理喻	li yu
理学	li xt
理工	li gs
理工科	li gs ke
理所当然	li so dh rj
理睬	li cd
理科	li ke
理解力	li jp li
理论家	li ly jx
琉璃	lq li
琉璃瓦	lq li wa
琥珀	hu po
琬圭	wj gv
琬琰	wj yj
琴声	qb ug
琴师	qb ui
琴心剑胆	qb xb jm dj
琴日	qb ri
琴晚	qb wj
琼瑶	qs yc
瑞金	rv jb
瑞雪纷飞	rv xt ff fw
瑰玮	gv ww
璎珞	yk lo
璞玉浑金	pu yu hy jb
瓜农	gx ns
瓢泼大雨大雨倾盆	pn po da yu da yu qk pf
瓢泼大雨大雨倾盆	pn po da yu dd yu qk pf
瓢泼大雨大雨倾盆	pn po dd yu da yu qk pf
瓢泼大雨大雨倾盆	pn po dd yu dd yu qk pf
瓦工	wa gs
瓦当	wa dh
瓦煲	wa bc
瓦通纸	wa ts vi
瓮声瓮气	wg ug wg qi
甘于	gj yu
甘油	gj yz
甘肃省	gj su ug
甘苦	gj ku
甘蓝	gj lj
甚至于	uf vi yu
甜耶耶	tm ye ye
甜菜	tm cd
甜酸苦辣	tm sr ku la
甜食	tm ui
生于	ug yu
生产关系	ug ij gr xi
生产力	ug ij li
生产率	ug ij lv
生产线	ug ij xm
生产者	ug ij ve
生产队	ug ij dv
生人	ug rf
生人唔生胆	ug rf wu ug dj
生前	ug qm
生力军	ug li jy
生勾勾	ug gz gz
生化	ug hx
生埗	ug bu
生威	ug ww
生安白造	ug an bd zc
生就	ug jq
生态学	ug td xt
生性	ug xk
生意人	ug yi rf
生意经	ug yi jk
生招牌	ug vc pd
生擒活捉	ug qb ho vo
生机	ug ji
生机勃勃	ug ji bo bo
生果金	ug go jb
生死与共	ug si yu gs
生殖	ug vi
生母	ug mu
生活费	ug ho fw
生源	ug yr
生父	ug fu
生物体	ug wu ti
生物学	ug wu xt
生物钟	ug wu vs
生猪	ug vu
生理	ug li
生生	ug ug
生生不已	ug ug bu yi
生疑	ug yi
生肖	ug xn
生育	ug yu
生菜	ug cd
生萝卜	ug lo bo
生萝卜	ug lo bu
生计	ug ji
生长期	ug vh qi
生长素	ug vh su
生鸡	ug ji
甡甡	uf uf
用之不竭	ys vi bu jp
用人	ys rf
用作	ys zo
用尽	ys jb
用工	ys gs
用意	ys yi
用时	ys ui
用材林	ys cd lb
用武	ys wu
用水	ys uv
用煤	ys mw
用语	ys yu
用费	ys fw
甩底	uk di
甩拖	uk to
甩皮	uk pi
甩皮甩骨	uk pi uk gu
甩绳马骝	uk ug ma lq
甩肺	uk fw
